epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,1586.16,0.95631,2.23239,1.60024,1.1106,0,0.60705,0.27381,0.19944,0.13391,0.63861,0.35714,0.27922,0.08003,1.55699,5.57502,4.53155,1.86987,0,0.0007426,0.0007426,0.0007426
41,1627.36,0.89362,2.15269,1.50387,1.05941,0,0.60705,0.27381,0.19944,0.13391,0.63861,0.35714,0.27922,0.08003,1.55699,5.57502,4.53155,1.86987,0,0.000736,0.000736,0.000736
42,1665.57,0.88402,2.08366,1.4224,1.05786,0,0.71792,0.22024,0.2917,0.14412,0.71792,0.22024,0.27463,0.09395,1.5621,5.16093,4.27374,1.98183,0,0.0007294,0.0007294,0.0007294
43,1703.62,0.83247,2.14156,1.44202,1.03821,0,0.71792,0.22024,0.2917,0.14412,0.71792,0.22024,0.27463,0.09395,1.5621,5.16093,4.27374,1.98183,0,0.0007228,0.0007228,0.0007228
44,1738.87,0.80005,2.03945,1.34081,1.01166,0,0.71792,0.22024,0.2917,0.14412,0.71792,0.22024,0.27463,0.09395,1.5621,5.16093,4.27374,1.98183,0,0.0007162,0.0007162,0.0007162
45,1783.04,0.78082,1.9527,1.30972,1.02673,0,0.71792,0.22024,0.2917,0.14412,0.71792,0.22024,0.27463,0.09395,1.5621,5.16093,4.27374,1.98183,0,0.0007096,0.0007096,0.0007096
46,1824.8,0.77299,1.98525,1.27214,1.01477,0,0.65286,0.40204,0.44448,0.22691,0.64721,0.39881,0.40821,0.1622,1.45129,4.79486,4.1317,1.80617,0,0.000703,0.000703,0.000703
47,1866.87,0.78978,1.87494,1.12207,1.04272,0,0.65286,0.40204,0.44448,0.22691,0.64721,0.39881,0.40821,0.1622,1.45129,4.79486,4.1317,1.80617,0,0.0006964,0.0006964,0.0006964
48,1910.78,0.7677,1.87381,1.17675,1.03842,0,0.65286,0.40204,0.44448,0.22691,0.64721,0.39881,0.40821,0.1622,1.45129,4.79486,4.1317,1.80617,0,0.0006898,0.0006898,0.0006898
49,1946.77,0.73984,1.80388,1.11646,1.00536,0,0.65286,0.40204,0.44448,0.22691,0.64721,0.39881,0.40821,0.1622,1.45129,4.79486,4.1317,1.80617,0,0.0006832,0.0006832,0.0006832
